No.,名前,生年月日,身長,体重,投,打,応援歌
0,増田　大輝,,,,,,走れ走れよ　ネクストベースへ　ホームまで駆け抜けろ　増田大輝　ＧＯ　ＧＯ
2,吉川　尚輝,,,,,,好守に巧打　結果を見せつけて　輝く道を　駆け抜けろ尚輝
5,中島　宏之,,,,,,吠えろ中島　不屈の戦士　狙い定め　叩け　振り抜け　さあ勝利の雄叫びだ
6,坂本　勇人,,,,,,オオオ　オオオ　オオオ　オオオ　オー燃えろ（坂本！）　誰よりも強く勇ましく　オオオオオオ　お前が立つその場所は　熱気の渦が巻く　坂本　炎となれ
7,長野　久義,,,,,,オーオーオーオーオーオオオー　君よこの歌と君よこの声に今　共鳴起こせ（長野！）　一筋貫く　夢の弾道　飛ばせ長野　放て長野　オオオオオオ（オイ！）　ここまで
8,丸　佳浩,,,,,,誰より強く　さらなる高みへ　この大歓声が　君の味方だ　さあ我らと行こう　丸佳浩
10,中田　翔,,,,,,天翔かけるこの一打　放物線全てをのせて　中田（翔！）　さあ轟かせ　その名をこの世界に
13,梶谷　隆幸,,,,,,オーーーー（梶谷！）　誇り高き戦士よ　雄々しく戦い抜け　覚悟示し己の途を　信じ突き進め
18,菅野　智之,,,,,,揺るがぬ想いその腕に　魂込めたストレート　勝利へ続く道　進め菅野智之
19,山﨑　伊織,,,,,,その手の白球で　勝利へ一歩ずつ　共に掴むぞビクトリー　強気の勝負で
20,戸郷　翔征,,,,,,魅せろ華麗なステージ　しなる豪腕眩しく　翔けそれ征け戸郷　明日を目指ざして
22,小林　誠司,,,,,,今魅せろ強肩を　扇の要　夢バットに託し　戦え小林
23,松田　宣浩,,,,,,熱く熱く強く　雄叫びともに　燃えろ燃えろ松田　掴めその手で
24,大城　卓三,,,,,,鋭いまなざし　満ちあふれる男気　魅せろパワー　フルスイング　ぶち込め大城
25,岡本　和真,,,,,,歴史を築け岡本和真　【ドンドン】（オ・カ・モト！）　夢あふれるフィールド　その名刻め岡本　スタンド湧かす　永遠のアーチ
26,今村　信貴,,,,,,滾る闘志を球に込め　唸る左腕よ今ここに　多彩なボールで　全力まっしぐら
37,若林　晃弘,,,,,,夢は大きく高らかに　輝け（晃弘！）　まだ見ぬ境地目指して　全力で突っ走れ
43,重信　慎之介,,,,,,風をその背に受け　駆け抜けろ重信　突撃進撃　疾風迅雷
44,ウォーカー,,,,,,いつでもどこでも君は　輝く僕らのヒーロー　ライトへ（GO！）レフトへ（GO！）　Let's　Fight　ウォーカー飛ばせ！
45,畠　世周,,,,,,勝利を重ね歴史を刻め　掴め今日の星　熱いぜ畠　世に名を馳せて　行こうぜどこまでも
46,鍬原　拓也,,,,,,努力と希望の道　忘れず進め　想い胸に　ここから　切り拓け
47,髙橋　優貴,,,,,,届け我らのエール　信じて一球入魂　駆け上がれこのスターダム　髙橋優貴　勝ち抜け
52,北村　拓己,,,,,,切り拓いた道の先に　描け理想の姿　己の力で挑めよ　この舞台で
55,秋広　優人,,,,,,さあいざ行け　GOGO目覚めよ　届いた想い力に変えて　さあいざ行け　見せてくれ頂を　信じて挑め　秋広優人
59,松原　聖弥,,,,,,掴み取れ夢を　駆け巡れグラウンド　歓喜の渦へ　チーム導け　魅せろ松原
61,増田　陸,,,,,,見せろ今　君の熱き想い　不屈の闘志　超えろ今　君の架けたアーチ　未来へ振り抜け